"","YEAR","GEOID","NAME","total_occupied_units","no_vehicles","one_vehicle","two_vehicles","three_or_more_vehicles"
"1",1960,"25025000101","Census Tract 1.01",616,226,336,43,11
"2",1960,"25025000102","Census Tract 1.02",725,266,396,50,13
"3",1960,"25025000201","Census Tract 2.01",1353,360,880,96,17
"4",1960,"25025000202","Census Tract 2.02",1404,373,913,100,18
"5",1960,"25025000301","Census Tract 3.01",786,142,540,93,11
"6",1960,"25025000302","Census Tract 3.02",778,140,535,92,11
"7",1960,"25025000401","Census Tract 4.01",1825,553,1126,133,13
"8",1960,"25025000402","Census Tract 4.02",1129,342,697,82,8
"9",1960,"25025000502","Census Tract 5.02",1881,728,999,133,21
"10",1960,"25025000503","Census Tract 5.03",808,313,429,57,9
"11",1960,"25025000505","Census Tract 5.05",710,275,377,50,8
"12",1960,"25025000506","Census Tract 5.06",947,366,503,67,11
"13",1960,"25025000601","Census Tract 6.01",1210,516,620,55,19
"14",1960,"25025000603","Census Tract 6.03",617,263,316,28,10
"15",1960,"25025000604","Census Tract 6.04",1008,430,516,46,16
"16",1960,"25025000701","Census Tract 7.01",1785,901,794,67,23
"17",1960,"25025000703","Census Tract 7.03",970,489,431,37,13
"18",1960,"25025000704","Census Tract 7.04",1959,989,871,74,25
"19",1960,"25025000804","Census Tract 8.04",665,288,337,25,15
"20",1960,"25025000805","Census Tract 8.05",821,356,416,31,18
"21",1960,"25025000806","Census Tract 8.06",388,168,196,15,9
"22",1960,"25025000807","Census Tract 8.07",353,153,179,13,8
"23",1960,"25025010103","Census Tract 101.03",577,264,223,69,21
"24",1960,"25025010104","Census Tract 101.04",866,397,335,103,31
"25",1960,"25025010204","Census Tract 102.04",1633,888,649,49,47
"26",1960,"25025010205","Census Tract 102.05",1269,690,504,38,37
"27",1960,"25025010206","Census Tract 102.06",939,511,373,28,27
"28",1960,"25025010300","Census Tract 103",1069,704,343,6,16
"29",1960,"25025010403","Census Tract 104.03",1106,819,251,20,16
"30",1960,"25025010404","Census Tract 104.04",1450,1073,329,27,21
"31",1960,"25025010405","Census Tract 104.05",1898,1398,439,34,27
"32",1960,"25025010408","Census Tract 104.08",730,397,290,22,21
"33",1960,"25025010500","Census Tract 105",1430,1009,363,48,10
"34",1960,"25025010600","Census Tract 106",1540,1234,276,15,15
"35",1960,"25025010701","Census Tract 107.01",1363,699,486,123,55
"36",1960,"25025010702","Census Tract 107.02",1308,672,466,118,52
"37",1960,"25025010801","Census Tract 108.01",1517,719,644,96,58
"38",1960,"25025010802","Census Tract 108.02",1583,750,672,101,60
"39",1960,"25025020101","Census Tract 201.01",2671,1256,1100,244,71
"40",1960,"25025020200","Census Tract 202",1896,1194,607,69,26
"41",1960,"25025020301","Census Tract 203.01",345,257,82,5,1
"42",1960,"25025020302","Census Tract 203.02",1529,1292,233,4,0
"43",1960,"25025020304","Census Tract 203.04",136,115,21,0,0
"44",1960,"25025020305","Census Tract 203.05",264,212,49,3,0
"45",1960,"25025030100","Census Tract 301",1139,786,339,10,4
"46",1960,"25025030200","Census Tract 302",721,491,206,19,5
"47",1960,"25025030301","Census Tract 303.01",50,33,13,4,0
"48",1960,"25025030302","Census Tract 303.02",1155,1019,133,3,0
"49",1960,"25025030400","Census Tract 304",1304,867,369,63,5
"50",1960,"25025030500","Census Tract 305",870,626,224,9,11
"51",1960,"25025040100","Census Tract 401",874,520,312,26,16
"52",1960,"25025040200","Census Tract 402",737,448,247,32,10
"53",1960,"25025040300","Census Tract 403",1720,908,708,95,9
"54",1960,"25025040401","Census Tract 404.01",991,547,390,38,16
"55",1960,"25025040600","Census Tract 406",1107,564,518,20,5
"56",1960,"25025040801","Census Tract 408.01",548,423,119,6,0
"57",1960,"25025050101","Census Tract 501.01",1311,481,765,55,10
"58",1960,"25025050200","Census Tract 502",1648,931,652,40,25
"59",1960,"25025050300","Census Tract 503",647,453,194,0,0
"60",1960,"25025050400","Census Tract 504",760,414,326,15,5
"61",1960,"25025050500","Census Tract 505",726,376,312,33,5
"62",1960,"25025050600","Census Tract 506",755,444,292,14,5
"63",1960,"25025050700","Census Tract 507",1543,840,666,22,15
"64",1960,"25025050901","Census Tract 509.01",1511,589,857,55,10
"65",1960,"25025051000","Census Tract 510",1199,406,733,50,10
"66",1960,"25025051101","Census Tract 511.01",2008,608,1231,140,29
"67",1960,"25025051200","Census Tract 512",1173,551,553,64,5
"68",1960,"25025060101","Census Tract 601.01",1291,538,670,67,16
"69",1960,"25025060200","Census Tract 602",972,448,462,51,11
"70",1960,"25025060301","Census Tract 603.01",1424,652,694,68,10
"71",1960,"25025060400","Census Tract 604",2072,1198,807,57,10
"72",1960,"25025060501","Census Tract 605.01",1598,961,618,15,4
"73",1960,"25025060601","Census Tract 606.01",339,197,123,14,5
"74",1960,"25025060602","Census Tract 606.02",24,14,9,1,0
"75",1960,"25025060603","Census Tract 606.03",15,9,5,1,0
"76",1960,"25025060604","Census Tract 606.04",49,28,18,2,1
"77",1960,"25025060700","Census Tract 607",946,706,231,4,5
"78",1960,"25025060800","Census Tract 608",1676,1110,531,24,11
"79",1960,"25025061000","Census Tract 610",1353,900,419,19,15
"80",1960,"25025061101","Census Tract 611.01",958,717,236,5,0
"81",1960,"25025061201","Census Tract 612.01",695,461,217,13,4
"82",1960,"25025061202","Census Tract 612.02",,,,,
"83",1960,"25025061203","Census Tract 612.03",218,135,83,0,0
"84",1960,"25025061204","Census Tract 612.04",42,26,16,0,0
"85",1960,"25025070102","Census Tract 701.02",169,154,13,2,0
"86",1960,"25025070103","Census Tract 701.03",8,7,1,0,0
"87",1960,"25025070104","Census Tract 701.04",65,59,5,1,0
"88",1960,"25025070201","Census Tract 702.01",426,329,70,11,16
"89",1960,"25025070202","Census Tract 702.02",965,808,102,42,13
"90",1960,"25025070301","Census Tract 703.01",1591,1283,276,32,0
"91",1960,"25025070302","Census Tract 703.02",981,789,169,20,3
"92",1960,"25025070402","Census Tract 704.02",800,646,143,10,1
"93",1960,"25025070501","Census Tract 705.01",1455,1128,260,61,6
"94",1960,"25025070502","Census Tract 705.02",2379,1744,514,96,25
"95",1960,"25025070600","Census Tract 706",2178,1769,402,7,0
"96",1960,"25025070700","Census Tract 707",1190,921,221,38,10
"97",1960,"25025070801","Census Tract 708.01",507,385,108,10,4
"98",1960,"25025070802","Census Tract 708.02",1418,1076,303,27,12
"99",1960,"25025070901","Census Tract 709.01",596,442,147,7,0
"100",1960,"25025070902","Census Tract 709.02",1005,746,247,12,0
"101",1960,"25025071101","Census Tract 711.01",1555,1241,284,16,14
"102",1960,"25025071201","Census Tract 712.01",936,722,205,0,9
"103",1960,"25025080100","Census Tract 801",970,529,411,30,0
"104",1960,"25025080300","Census Tract 803",1263,877,326,60,0
"105",1960,"25025080401","Census Tract 804.01",1437,1102,314,14,7
"106",1960,"25025080500","Census Tract 805",1399,1092,285,12,10
