"YEAR","GEOID","NAME","total_workers_16_and_over","car_truck_van_alone","car_truck_van_carpool","public_transportation","walked","taxi_moto_bike_other","worked_from_home"
1990,"Allston","Allston",12403,4011,1059,5105,1659,438,131
1990,"Back Bay","Back Bay",11059,2648,432,2753,4218,368,640
1990,"Beacon Hill","Beacon Hill",6437,1231,156,1304,3283,175,288
1990,"Brighton","Brighton",28455,12161,2782,10836,1847,398,431
1990,"Charlestown","Charlestown",8237,3430,666,2527,1213,155,246
1990,"Chinatown","Chinatown",1108,155,172,237,437,58,49
1990,"Dorchester","Dorchester",47434,22719,6673,14760,1900,843,539
1990,"Downtown","Downtown",2473,478,174,484,1148,97,92
1990,"East Boston","East Boston",14380,5551,1713,5682,1099,173,162
1990,"Fenway","Fenway",16297,2459,534,5452,6768,745,339
1990,"Harbor Islands","Harbor Islands",76,0,7,33,21,0,15
1990,"Hyde Park","Hyde Park",14714,8777,1805,3175,547,134,276
1990,"Jamaica Plain","Jamaica Plain",19320,8080,2440,6495,1262,431,612
1990,"Longwood","Longwood",1174,119,31,309,603,56,56
1990,"Mattapan","Mattapan",11261,5387,1785,3466,309,127,187
1990,"Mission Hill","Mission Hill",6497,1501,520,2678,1542,103,153
1990,"North End","North End",6051,1150,223,1560,2867,133,118
1990,"Roslindale","Roslindale",14400,8257,1803,3638,405,109,188
1990,"Roxbury","Roxbury",15138,5482,2013,6146,941,350,206
1990,"South Boston","South Boston",13309,5482,1595,4289,1522,269,152
1990,"South Boston Waterfront","South Boston Waterfront",204,85,21,48,32,10,8
1990,"South End","South End",14018,3417,1389,4104,4228,431,449
1990,"West End","West End",2302,427,47,474,1210,98,46
1990,"West Roxbury","West Roxbury",15181,10393,1606,2401,389,120,272
1990,"_Crews on Ships","_Crews on Ships",600,0,0,0,0,0,600
2000,"Allston","Allston",11855,3782,816,5164,1500,317,276
2000,"Back Bay","Back Bay",10526,3131,307,2586,3426,479,597
2000,"Beacon Hill","Beacon Hill",6167,1259,131,1302,3061,132,282
2000,"Brighton","Brighton",27667,13145,2296,9933,1247,498,548
2000,"Charlestown","Charlestown",8191,3855,537,2427,992,97,283
2000,"Chinatown","Chinatown",1293,150,178,358,525,41,41
2000,"Dorchester","Dorchester",45740,21545,6246,14832,1565,784,768
2000,"Downtown","Downtown",3340,570,261,744,1607,64,94
2000,"East Boston","East Boston",16020,5751,1787,7085,1193,105,99
2000,"Fenway","Fenway",16473,2342,499,6007,6645,703,277
2000,"Harbor Islands","Harbor Islands",137,0,11,66,44,0,16
2000,"Hyde Park","Hyde Park",13935,8689,1694,2793,372,75,312
2000,"Jamaica Plain","Jamaica Plain",18272,7787,1694,6494,1021,528,748
2000,"Longwood","Longwood",1834,209,128,469,974,21,33
2000,"Mattapan","Mattapan",9612,5062,1111,3040,157,106,136
2000,"Mission Hill","Mission Hill",6536,1546,453,2816,1384,188,149
2000,"North End","North End",6754,1304,199,1700,3235,147,169
2000,"Roslindale","Roslindale",14495,8519,1806,3466,280,138,286
2000,"Roxbury","Roxbury",14627,5660,2109,5311,907,351,289
2000,"South Boston","South Boston",14595,6863,1269,4784,1235,261,183
2000,"South Boston Waterfront","South Boston Waterfront",262,92,31,63,46,21,9
2000,"South End","South End",13672,4220,567,4443,3456,398,588
2000,"West End","West End",2414,570,93,517,1126,30,78
2000,"West Roxbury","West Roxbury",14046,9567,1439,2313,325,70,332
2010,"Allston","Allston",13142,3135,741,5855,2219,703,489
2010,"Back Bay","Back Bay",10790,2696,440,2597,3967,400,690
2010,"Beacon Hill","Beacon Hill",6106,858,92,1127,3480,222,327
2010,"Brighton","Brighton",28083,11970,1859,10167,2202,747,1138
2010,"Charlestown","Charlestown",9213,4307,843,2494,1044,122,403
2010,"Chinatown","Chinatown",1583,214,62,421,765,29,92
2010,"Dorchester","Dorchester",48423,22274,5422,17171,1971,727,858
2010,"Downtown","Downtown",4670,775,96,917,2420,172,290
2010,"East Boston","East Boston",21327,6334,2619,10383,1480,230,281
2010,"Fenway","Fenway",14907,2067,278,4202,7135,454,771
2010,"Harbor Islands","Harbor Islands",119,0,22,61,10,0,26
2010,"Hyde Park","Hyde Park",16245,10109,1346,3882,297,130,481
2010,"Jamaica Plain","Jamaica Plain",21297,8112,1537,8397,1455,1021,775
2010,"Longwood","Longwood",2685,73,244,669,1402,18,279
2010,"Mattapan","Mattapan",10735,4863,1492,3741,283,180,176
2010,"Mission Hill","Mission Hill",7062,1582,300,2608,1941,562,69
2010,"North End","North End",7184,1101,95,1711,3874,125,278
2010,"Roslindale","Roslindale",14754,7911,1567,4239,308,265,464
2010,"Roxbury","Roxbury",17163,6324,1608,6732,1717,397,385
