"YEAR","GEOID","white","black","other","hisp","native","asian","two_plus","NAME"
1950,25025000101,2511,1,1,0,0,0,0,"Census Tract 1.01"
1950,25025000102,2954,2,1,0,0,0,0,"Census Tract 1.02"
1950,25025000201,4450,3,3,0,0,0,0,"Census Tract 2.01"
1950,25025000202,4613,3,3,0,0,0,0,"Census Tract 2.02"
1950,25025000301,2877,5,0,0,0,0,0,"Census Tract 3.01"
1950,25025000302,2851,4,0,0,0,0,0,"Census Tract 3.02"
1950,25025000401,5760,7,4,0,0,0,0,"Census Tract 4.01"
1950,25025000402,3564,5,2,0,0,0,0,"Census Tract 4.02"
1950,25025000502,4501,11,4,0,0,0,0,"Census Tract 5.02"
1950,25025000503,1934,5,2,0,0,0,0,"Census Tract 5.03"
1950,25025000505,1697,4,2,0,0,0,0,"Census Tract 5.05"
1950,25025000506,2265,5,2,0,0,0,0,"Census Tract 5.06"
1950,25025000601,3018,4,6,0,0,0,0,"Census Tract 6.01"
1950,25025000603,1538,2,3,0,0,0,0,"Census Tract 6.03"
1950,25025000604,2511,3,5,0,0,0,0,"Census Tract 6.04"
1950,25025000701,4295,13,5,0,0,0,0,"Census Tract 7.01"
1950,25025000703,2331,7,3,0,0,0,0,"Census Tract 7.03"
1950,25025000704,4711,15,5,0,0,0,0,"Census Tract 7.04"
1950,25025000804,2514,56,15,0,0,0,0,"Census Tract 8.04"
1950,25025000805,3106,69,19,0,0,0,0,"Census Tract 8.05"
1950,25025000806,1464,32,9,0,0,0,0,"Census Tract 8.06"
1950,25025000807,1337,30,8,0,0,0,0,"Census Tract 8.07"
1950,25025010103,2252,23,10,0,0,0,0,"Census Tract 101.03"
1950,25025010104,3380,34,16,0,0,0,0,"Census Tract 101.04"
1950,25025010204,3594,5,15,0,0,0,0,"Census Tract 102.04"
1950,25025010205,2794,4,12,0,0,0,0,"Census Tract 102.05"
1950,25025010206,2067,3,9,0,0,0,0,"Census Tract 102.06"
1950,25025010300,2560,22,11,0,0,0,0,"Census Tract 103"
1950,25025010403,2348,92,28,0,0,0,0,"Census Tract 104.03"
1950,25025010404,3078,120,37,0,0,0,0,"Census Tract 104.04"
1950,25025010405,4056,152,47,0,0,0,0,"Census Tract 104.05"
1950,25025010408,1608,2,7,0,0,0,0,"Census Tract 104.08"
1950,25025010500,3728,426,31,0,0,0,0,"Census Tract 105"
1950,25025010600,3588,59,6,0,0,0,0,"Census Tract 106"
1950,25025010701,3514,12,10,0,0,0,0,"Census Tract 107.01"
1950,25025010702,3375,12,9,0,0,0,0,"Census Tract 107.02"
1950,25025010801,3145,12,6,0,0,0,0,"Census Tract 108.01"
1950,25025010802,3277,12,6,0,0,0,0,"Census Tract 108.02"
1950,25025020101,5367,17,8,0,0,0,0,"Census Tract 201.01"
1950,25025020200,4940,68,4,0,0,0,0,"Census Tract 202"
1950,25025020301,6834,83,6,0,0,0,0,"Census Tract 203.01"
1950,25025020302,3742,2,13,0,0,0,0,"Census Tract 203.02"
1950,25025020304,334,0,1,0,0,0,0,"Census Tract 203.04"
1950,25025020305,5589,56,4,0,0,0,0,"Census Tract 203.05"
1950,25025030100,4232,1,1,0,0,0,0,"Census Tract 301"
1950,25025030200,3009,0,4,0,0,0,0,"Census Tract 302"
1950,25025030301,295,3,49,0,0,0,0,"Census Tract 303.01"
1950,25025030302,1767,15,1,0,0,0,0,"Census Tract 303.02"
1950,25025030400,5232,3,2,0,0,0,0,"Census Tract 304"
1950,25025030500,3797,52,12,0,0,0,0,"Census Tract 305"
1950,25025040100,3259,3,10,0,0,0,0,"Census Tract 401"
1950,25025040200,3313,0,6,0,0,0,0,"Census Tract 402"
1950,25025040300,7410,5,1,0,0,0,0,"Census Tract 403"
1950,25025040401,5250,78,44,0,0,0,0,"Census Tract 404.01"
1950,25025040600,5160,6,10,0,0,0,0,"Census Tract 406"
1950,25025040801,6530,231,16,0,0,0,0,"Census Tract 408.01"
1950,25025050101,4987,6,1,0,0,0,0,"Census Tract 501.01"
1950,25025050200,6319,12,2,0,0,0,0,"Census Tract 502"
1950,25025050300,3262,2,0,0,0,0,0,"Census Tract 503"
1950,25025050400,3143,2,0,0,0,0,0,"Census Tract 504"
1950,25025050500,2850,0,0,0,0,0,0,"Census Tract 505"
1950,25025050600,2994,0,7,0,0,0,0,"Census Tract 506"
1950,25025050700,5982,7,3,0,0,0,0,"Census Tract 507"
1950,25025050901,6431,6,2,0,0,0,0,"Census Tract 509.01"
1950,25025051000,4346,0,1,0,0,0,0,"Census Tract 510"
1950,25025051101,5828,0,1,0,0,0,0,"Census Tract 511.01"
1950,25025051200,4935,18,5,0,0,0,0,"Census Tract 512"
1950,25025060101,5090,19,4,0,0,0,0,"Census Tract 601.01"
1950,25025060200,3323,1,0,0,0,0,0,"Census Tract 602"
1950,25025060301,5519,0,2,0,0,0,0,"Census Tract 603.01"
1950,25025060400,7690,0,1,0,0,0,0,"Census Tract 604"
1950,25025060501,6843,16,6,0,0,0,0,"Census Tract 605.01"
1950,25025060601,1707,0,0,0,0,0,0,"Census Tract 606.01"
1950,25025060602,121,0,0,0,0,0,0,"Census Tract 606.02"
1950,25025060603,75,0,0,0,0,0,0,"Census Tract 606.03"
1950,25025060604,245,0,0,0,0,0,0,"Census Tract 606.04"
1950,25025060700,4359,1,0,0,0,0,0,"Census Tract 607"
1950,25025060800,6863,0,7,0,0,0,0,"Census Tract 608"
1950,25025061000,5739,2,1,0,0,0,0,"Census Tract 610"
1950,25025061101,3692,2,1,0,0,0,0,"Census Tract 611.01"
1950,25025061201,2883,1,0,0,0,0,0,"Census Tract 612.01"
1950,25025061202,,,,,,,,"Census Tract 612.02"
1950,25025061203,1208,0,0,0,0,0,0,"Census Tract 612.03"
1950,25025061204,232,0,0,0,0,0,0,"Census Tract 612.04"
1950,25025070102,208,5,229,0,0,0,0,"Census Tract 701.02"
1950,25025070103,10,0,11,0,0,0,0,"Census Tract 701.03"
1950,25025070104,79,2,87,0,0,0,0,"Census Tract 701.04"
1950,25025070201,1155,92,143,0,0,0,0,"Census Tract 702.01"
1950,25025070202,1938,63,779,0,0,0,0,"Census Tract 702.02"
1950,25025070301,3206,70,14,0,0,0,0,"Census Tract 703.01"
1950,25025070302,1993,42,10,0,0,0,0,"Census Tract 703.02"
1950,25025070402,2916,497,39,0,0,0,0,"Census Tract 704.02"
1950,25025070501,3405,197,25,0,0,0,0,"Census Tract 705.01"
1950,25025070502,5699,402,64,0,0,0,0,"Census Tract 705.02"
1950,25025070600,4476,523,66,0,0,0,0,"Census Tract 706"
1950,25025070700,1365,1767,11,0,0,0,0,"Census Tract 707"
1950,25025070801,366,1109,8,0,0,0,0,"Census Tract 708.01"
1950,25025070802,1023,3097,21,0,0,0,0,"Census Tract 708.02"
1950,25025070901,1040,915,13,0,0,0,0,"Census Tract 709.01"
1950,25025070902,1754,1544,23,0,0,0,0,"Census Tract 709.02"
1950,25025071101,6535,154,26,0,0,0,0,"Census Tract 711.01"
1950,25025071201,4271,1048,33,0,0,0,0,"Census Tract 712.01"
1950,25025080100,4964,84,1,0,0,0,0,"Census Tract 801"
1950,25025080300,4932,739,16,0,0,0,0,"Census Tract 803"
1950,25025080401,4581,3268,78,0,0,0,0,"Census Tract 804.01"
1950,25025080500,1157,5804,23,0,0,0,0,"Census Tract 805"
1950,25025080601,3052,3479,21,0,0,0,0,"Census Tract 806.01"
1950,25025080801,6496,74,5,0,0,0,0,"Census Tract 808.01"
1950,25025080900,4719,33,7,0,0,0,0,"Census Tract 809"
1950,25025081001,6537,43,11,0,0,0,0,"Census Tract 810.01"
1950,25025081101,1344,48,4,0,0,0,0,"Census Tract 811.01"
1950,25025081102,2836,98,8,0,0,0,0,"Census Tract 811.02"
1950,25025081200,5221,99,1,0,0,0,0,"Census Tract 812"
1950,25025081301,1868,83,1,0,0,0,0,"Census Tract 813.01"
1950,25025081302,2611,116,2,0,0,0,0,"Census Tract 813.02"
1950,25025081400,7050,655,4,0,0,0,0,"Census Tract 814"
1950,25025081500,5028,1028,13,0,0,0,0,"Census Tract 815"
1950,25025081700,6819,2925,13,0,0,0,0,"Census Tract 817"
1950,25025081800,5302,948,6,0,0,0,0,"Census Tract 818"
1950,25025081900,3363,4263,9,0,0,0,0,"Census Tract 819"
1950,25025082000,4225,1377,4,0,0,0,0,"Census Tract 820"
1950,25025082100,6702,119,5,0,0,0,0,"Census Tract 821"
1950,25025090100,7804,18,19,0,0,0,0,"Census Tract 901"
1950,25025090200,3222,9,1,0,0,0,0,"Census Tract 902"
1950,25025090300,5474,315,16,0,0,0,0,"Census Tract 903"
1950,25025090400,8449,196,26,0,0,0,0,"Census Tract 904"
1950,25025090600,5748,88,11,0,0,0,0,"Census Tract 906"
1950,25025090700,7256,8,3,0,0,0,0,"Census Tract 907"
