"YEAR","hh","gq_adj","hu","GEOID","NAME"
1950,20736,25,6407,"Allston","Allston"
1950,21228,0,6356,"Back Bay","Back Bay"
1950,14151,9,4532,"Beacon Hill","Beacon Hill"
1950,46259,168,14708,"Brighton","Brighton"
1950,30746,586,6738,"Charlestown","Charlestown"
1950,2801,0,606,"Chinatown","Chinatown"
1950,161248,797,43452,"Dorchester","Dorchester"
1950,4040,87,773,"Downtown","Downtown"
1950,51122,30,13688,"East Boston","East Boston"
1950,25792,0,9799,"Fenway","Fenway"
1950,361,1783,14,"Harbor Islands","Harbor Islands"
1950,26055,73,6732,"Hyde Park","Hyde Park"
1950,49975,2852,13617,"Jamaica Plain","Jamaica Plain"
1950,2592,0,786,"Longwood","Longwood"
1950,23064,782,6159,"Mattapan","Mattapan"
1950,20261,604,5458,"Mission Hill","Mission Hill"
1950,16346,0,4526,"North End","North End"
1950,30939,1235,8459,"Roslindale","Roslindale"
1950,101922,831,28109,"Roxbury","Roxbury"
1950,54978,1,14624,"South Boston","South Boston"
1950,673,0,196,"South Boston Waterfront","South Boston Waterfront"
1950,46074,243,11308,"South End","South End"
1950,12791,118,3789,"West End","West End"
1950,26950,116,7267,"West Roxbury","West Roxbury"
1960,17928,1147,6779,"Allston","Allston"
1960,14822,3332,8741,"Back Bay","Back Bay"
1960,10657,990,6097,"Beacon Hill","Beacon Hill"
1960,43874,1333,15958,"Brighton","Brighton"
1960,20196,443,5978,"Charlestown","Charlestown"
1960,2037,430,973,"Chinatown","Chinatown"
1960,149960,2166,44299,"Dorchester","Dorchester"
1960,2699,146,1863,"Downtown","Downtown"
1960,43795,369,13294,"East Boston","East Boston"
1960,17898,5500,10468,"Fenway","Fenway"
1960,85,1747,20,"Harbor Islands","Harbor Islands"
1960,29484,218,8106,"Hyde Park","Hyde Park"
1960,46655,4478,14052,"Jamaica Plain","Jamaica Plain"
1960,2584,1142,1069,"Longwood","Longwood"
1960,23586,821,6969,"Mattapan","Mattapan"
1960,15642,2211,5329,"Mission Hill","Mission Hill"
1960,13923,161,4033,"North End","North End"
1960,31552,1346,9199,"Roslindale","Roslindale"
1960,71238,1975,23026,"Roxbury","Roxbury"
1960,46941,375,13542,"South Boston","South Boston"
1960,1069,9,130,"South Boston Waterfront","South Boston Waterfront"
1960,27757,1583,15491,"South End","South End"
1960,1396,586,744,"West End","West End"
1960,29423,372,8544,"West Roxbury","West Roxbury"
1970,16992,2605,7437,"Allston","Allston"
1970,14620,3497,9206,"Back Bay","Back Bay"
1970,9833,477,6084,"Beacon Hill","Beacon Hill"
1970,42203,1854,17108,"Brighton","Brighton"
1970,14956,397,4818,"Charlestown","Charlestown"
1970,1290,210,656,"Chinatown","Chinatown"
1970,142095,2206,43208,"Dorchester","Dorchester"
1970,1783,143,1015,"Downtown","Downtown"
1970,38398,475,12854,"East Boston","East Boston"
1970,17662,10021,10793,"Fenway","Fenway"
1970,86,1155,38,"Harbor Islands","Harbor Islands"
1970,35229,334,10803,"Hyde Park","Hyde Park"
1970,42350,3216,14294,"Jamaica Plain","Jamaica Plain"
1970,1668,2104,815,"Longwood","Longwood"
1970,25119,595,8279,"Mattapan","Mattapan"
1970,13075,2546,5412,"Mission Hill","Mission Hill"
1970,10290,124,4050,"North End","North End"
1970,33473,836,10508,"Roslindale","Roslindale"
1970,48820,1868,16295,"Roxbury","Roxbury"
1970,37292,853,13255,"South Boston","South Boston"
1970,288,0,108,"South Boston Waterfront","South Boston Waterfront"
1970,18044,2453,8162,"South End","South End"
1970,2794,502,1808,"West End","West End"
1970,33338,875,10607,"West Roxbury","West Roxbury"
1980,17788,2544,8397,"Allston","Allston"
1980,14599,3737,10043,"Back Bay","Back Bay"
1980,9472,1069,5965,"Beacon Hill","Beacon Hill"
1980,41815,3119,19730,"Brighton","Brighton"
1980,13172,192,5252,"Charlestown","Charlestown"
1980,2623,447,1144,"Chinatown","Chinatown"
1980,107628,1846,36834,"Dorchester","Dorchester"
1980,3975,360,2258,"Downtown","Downtown"
1980,31692,486,12955,"East Boston","East Boston"
1980,16549,10065,10564,"Fenway","Fenway"
1980,7,503,1,"Harbor Islands","Harbor Islands"
1980,29972,386,10777,"Hyde Park","Hyde Park"
1980,35700,2130,13535,"Jamaica Plain","Jamaica Plain"
1980,1106,1999,461,"Longwood","Longwood"
1980,22103,725,7588,"Mattapan","Mattapan"
1980,11268,1954,4940,"Mission Hill","Mission Hill"
1980,8774,670,4718,"North End","North End"
1980,28481,835,10420,"Roslindale","Roslindale"
1980,42560,1067,15882,"Roxbury","Roxbury"
1980,29323,802,12506,"South Boston","South Boston"
1980,183,10,83,"South Boston Waterfront","South Boston Waterfront"
1980,20426,1910,10053,"South End","South End"
1980,3631,720,2296,"West End","West End"
1980,30629,704,12055,"West Roxbury","West Roxbury"
1990,20555,2500,8868,"Allston","Allston"
1990,14553,2152,9670,"Back Bay","Back Bay"
1990,8927,213,5535,"Beacon Hill","Beacon Hill"
1990,45278,1952,20558,"Brighton","Brighton"
1990,14466,82,6841,"Charlestown","Charlestown"
1990,2665,139,1220,"Chinatown","Chinatown"
1990,110663,1469,37746,"Dorchester","Dorchester"
1990,4376,424,2518,"Downtown","Downtown"
1990,32557,384,13417,"East Boston","East Boston"
1990,19296,10399,11381,"Fenway","Fenway"
1990,0,1282,0,"Harbor Islands","Harbor Islands"
1990,30030,433,11406,"Hyde Park","Hyde Park"
1990,37107,1617,14290,"Jamaica Plain","Jamaica Plain"
1990,991,1613,453,"Longwood","Longwood"
1990,23345,693,7744,"Mattapan","Mattapan"
1990,13190,1564,5599,"Mission Hill","Mission Hill"
