"GEOID","NAME","lhs","he","sc","bm","YEAR"
"Allston","Allston",6383,4809,973,1472,1950
"Back Bay","Back Bay",4735,4445,2355,2870,1950
"Beacon Hill","Beacon Hill",3892,2766,1269,1996,1950
"Brighton","Brighton",12327,11551,2887,3358,1950
"Charlestown","Charlestown",10595,4490,545,375,1950
"Chinatown","Chinatown",1308,222,55,57,1950
"Dorchester","Dorchester",53683,33548,6025,5365,1950
"Downtown","Downtown",1705,441,184,204,1950
"East Boston","East Boston",20945,5990,860,600,1950
"Fenway","Fenway",5810,6270,2745,2619,1950
"Harbor Islands","Harbor Islands",535,105,60,10,1950
"Hyde Park","Hyde Park",8227,4952,1196,869,1950
"Jamaica Plain","Jamaica Plain",15941,10073,1897,2095,1950
"Longwood","Longwood",534,416,173,343,1950
"Mattapan","Mattapan",7226,5141,1583,569,1950
"Mission Hill","Mission Hill",6739,3632,733,801,1950
"North End","North End",7948,1106,182,219,1950
"Roslindale","Roslindale",9300,7202,1549,1333,1950
"Roxbury","Roxbury",37679,15432,2761,2215,1950
"South Boston","South Boston",18781,8492,1457,977,1950
"South Boston Waterfront","South Boston Waterfront",291,76,3,12,1950
"South End","South End",22827,5812,1409,1283,1950
"West End","West End",5398,1380,386,375,1950
"West Roxbury","West Roxbury",6751,6189,1683,2118,1950
"Allston","Allston",5993,3663,1029,1412,1960
"Back Bay","Back Bay",3823,3049,2236,3450,1960
"Beacon Hill","Beacon Hill",3022,1721,1317,2677,1960
"Brighton","Brighton",12099,10139,3540,3524,1960
"Charlestown","Charlestown",7175,3023,287,287,1960
"Chinatown","Chinatown",1301,165,74,100,1960
"Dorchester","Dorchester",49965,29814,5334,4103,1960
"Downtown","Downtown",1429,333,243,277,1960
"East Boston","East Boston",18143,6045,708,541,1960
"Fenway","Fenway",5657,3832,2289,3056,1960
"Harbor Islands","Harbor Islands",1030,399,71,36,1960
"Hyde Park","Hyde Park",8210,6302,1324,897,1960
"Jamaica Plain","Jamaica Plain",17151,8791,2482,2225,1960
"Longwood","Longwood",724,392,196,194,1960
"Mattapan","Mattapan",7108,5968,1286,1023,1960
"Mission Hill","Mission Hill",5613,2705,835,810,1960
"North End","North End",6134,1129,162,175,1960
"Roslindale","Roslindale",9727,7100,1962,1385,1960
"Roxbury","Roxbury",28024,9642,2199,1579,1960
"South Boston","South Boston",15409,7327,905,697,1960
"South Boston Waterfront","South Boston Waterfront",171,48,7,7,1960
"South End","South End",15298,3673,1115,914,1960
"West End","West End",869,242,83,131,1960
"West Roxbury","West Roxbury",7054,6781,2299,2327,1960
"Allston","Allston",3804,3090,1101,1579,1970
"Back Bay","Back Bay",1649,2630,1914,3606,1970
"Beacon Hill","Beacon Hill",1249,1452,1145,2947,1970
"Brighton","Brighton",8996,9016,3197,4603,1970
"Charlestown","Charlestown",4549,3036,382,324,1970
"Chinatown","Chinatown",479,243,118,122,1970
"Dorchester","Dorchester",37301,27984,5180,3259,1970
"Downtown","Downtown",478,357,180,309,1970
"East Boston","East Boston",14441,6364,1040,575,1970
"Fenway","Fenway",2759,2919,1576,2327,1970
"Harbor Islands","Harbor Islands",782,85,38,27,1970
"Hyde Park","Hyde Park",7922,8851,1781,1494,1970
"Jamaica Plain","Jamaica Plain",13215,8241,2211,2617,1970
"Longwood","Longwood",268,177,179,259,1970
